Cód Transacción	Cód Transacción	Descripción Transacción	Artículo	Descripción Artículo	Planta	Desc. Planta	Cód. Configuración	Dirección	Cantidad	UdM	Dirección Paralela	Ctd Paralela	UdM Paralela	Ubicación	Almacén	Cajón	Fila	Nivel	Caja	Nº Lote	Nº Serie	Cód. Condición	Desc. Cód. Condición	Nº R/D/R	Nº Rev	Fecha Caducidad	Ref Orden 1	Ref Orden 2	Ref Orden 3	Ref Orden 4	Tipo Orden	Coste	Coste Inventario	Coste Total	Creado	Hora Creación	Nota	Realizado Por	Fecha Aplicada	Incl en Art Agr por Periodo	Incl.Valor Agreg. por Per.	Devol/Deshec	Propiedad	Propietario	Nombre Propietario	Propiedad Previo	Propietario Previo	Nombre Propietario Previo	Cód. Programa	Descripción de Programa	Cód Proyecto	Nombre Proyecto	Cód Subproyecto	Descripción Subproyecto	Cód Actividad	Descripción Actividad	Secuencia Actividad	Tiene Errores Contab	Tiene Contab Trasnferidas	Cód Inf Trans Inv	Fecha Aplicada Fecha Modificación	Fecha Aplicada Modificada por Usuario
"1,551,899"	WOISS	Emitir para Orden de Trabajo	P01.001.RO0016	RODAMIENTO 6208	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		600161	*		7	Orden Trabajo	16.05	16.05	16.05	12/02/2016	14:10:17		VTIXE	12/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	246819		
"1,528,366"	WOISS	Emitir para Orden de Trabajo	P03.023.IN0003	DESENGRASANTE INDUSTRIAL ( BH-38)	05M-O	TERMOPICHINCHA M-O	*	-	3	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		10	*		7	Orden Trabajo	12.11	36.34	36.34	19/01/2016	12:18:36		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241608		
"1,556,121"	WOISS	Emitir para Orden de Trabajo	P03.008.LI0024	LIMPIADOR DE MOTORES ELECTRICOS	05M-O	TERMOPICHINCHA M-O	*	-	1	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		600167	*		4	Orden Trabajo	27.16	27.16	27.16	17/02/2016	8:46:01		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247691		
"1,556,122"	WOISS	Emitir para Orden de Trabajo	P03.008.LI0007	LIMPIADOR DE CONTACTOS ELECTRONICOS CONTAC CLEANER	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		600167	*		5	Orden Trabajo	16.9	16.9	16.9	17/02/2016	8:46:02		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247691		
"1,556,123"	WOISS	Emitir para Orden de Trabajo	P03.023.IN0003	DESENGRASANTE INDUSTRIAL ( BH-38)	05M-O	TERMOPICHINCHA M-O	*	-	2	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		600167	*		7	Orden Trabajo	12.11	24.23	24.23	17/02/2016	8:46:02		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247691		
"1,556,124"	WOISS	Emitir para Orden de Trabajo	P02.011.CB0070	CABLE FLEXIBLE # 10	05M-O	TERMOPICHINCHA M-O	*	-	10	m				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		600167	*		8	Orden Trabajo	0.98	9.81	9.81	17/02/2016	8:46:03		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247691		
"1,556,854"	WOISS	Emitir para Orden de Trabajo	P03.010.MT0004	MATERIAL AISLANTE CINTA AISLANTE PARA ALTA TEMPERA	05M-O	TERMOPICHINCHA M-O	*	-	2	jgo				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	68	*		6	Orden Trabajo	15.62	31.23	31.23	17/02/2016	12:10:44		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247812		
"1,556,860"	WOISS	Emitir para Orden de Trabajo	P02.026.AB0081	ABRAZADERA INDUSTRIAL 29-31MM	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		68	*		7	Orden Trabajo	3.25	3.25	3.25	17/02/2016	12:10:44		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247812		
"1,556,864"	WOISS	Emitir para Orden de Trabajo	P02.026.AB0083	ABRAZADERA INDUSTRIAL 43-47MM	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		68	*		8	Orden Trabajo	3.47	3.47	3.47	17/02/2016	12:10:46		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247812		
"1,556,865"	WOISS	Emitir para Orden de Trabajo	P02.014.CN0014	CINTA AUTOFUNDENTE 23M- ROLLO	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	68	*		9	Orden Trabajo	13.09	13.09	13.09	17/02/2016	12:10:46		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247812		
"1,556,866"	WOISS	Emitir para Orden de Trabajo	P01.142.BN0013	BORNERA DE PORCELANA TRIPLE	05M-O	TERMOPICHINCHA M-O	*	-	4	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	68	*		10	Orden Trabajo	3.86	15.45	15.45	17/02/2016	12:10:47		VTIXE	17/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	247812		
